fencer,action_id,start_frame,end_frame,expected,actual,coverage
RIGHT,11,37,40,4,4,100.0
LEFT,2,60,65,6,6,100.0
RIGHT,3,22,40,19,16,84.21052631578947
RIGHT,4,56,61,6,6,100.0
LEFT,57,21,25,5,5,100.0
LEFT,58,26,34,9,8,88.88888888888889
RIGHT,59,24,29,6,6,100.0
RIGHT,60,30,33,4,4,100.0
LEFT,51,13,16,4,4,100.0
LEFT,52,17,21,5,5,100.0
RIGHT,53,11,18,8,8,100.0
LEFT,49,23,28,6,4,66.66666666666666
RIGHT,50,22,27,6,6,100.0
LEFT,63,20,25,6,6,100.0
LEFT,64,35,47,13,12,92.3076923076923
LEFT,65,52,63,12,12,100.0
LEFT,66,101,107,7,7,100.0
LEFT,67,117,122,6,6,100.0
RIGHT,68,30,34,5,3,60.0
RIGHT,69,120,125,6,6,100.0
LEFT,41,20,26,7,7,100.0
RIGHT,42,28,31,4,4,100.0
LEFT,25,18,24,7,5,71.42857142857143
RIGHT,26,26,29,4,4,100.0
LEFT,0,23,26,4,4,100.0
RIGHT,1,21,27,7,7,100.0
LEFT,70,33,37,5,5,100.0
RIGHT,71,37,40,4,4,100.0
LEFT,35,21,26,6,6,100.0
LEFT,36,34,40,7,7,100.0
LEFT,37,58,100,43,43,100.0
LEFT,38,101,109,9,9,100.0
RIGHT,39,30,53,24,22,91.66666666666666
RIGHT,40,110,113,4,4,100.0
LEFT,45,33,38,6,4,66.66666666666666
RIGHT,46,29,39,11,11,100.0
LEFT,21,24,28,5,5,100.0
RIGHT,22,17,24,8,7,87.5
LEFT,7,16,21,6,5,83.33333333333334
RIGHT,8,16,22,7,4,57.14285714285714
LEFT,23,34,39,6,5,83.33333333333334
RIGHT,24,28,40,13,12,92.3076923076923
LEFT,12,16,21,6,3,50.0
LEFT,13,30,35,6,6,100.0
LEFT,14,94,98,5,5,100.0
RIGHT,15,24,28,5,5,100.0
RIGHT,16,32,41,10,10,100.0
RIGHT,17,86,89,4,4,100.0
RIGHT,18,98,103,6,5,83.33333333333334
LEFT,54,17,20,4,4,100.0
LEFT,55,48,51,4,4,100.0
RIGHT,56,48,52,5,5,100.0
LEFT,355,23,31,9,9,100.0
RIGHT,356,21,31,11,10,90.9090909090909
LEFT,385,30,33,4,4,100.0
RIGHT,386,23,29,7,7,100.0
RIGHT,332,26,32,7,6,85.71428571428571
LEFT,370,58,67,10,9,90.0
RIGHT,371,9,15,7,7,100.0
RIGHT,372,24,27,4,4,100.0
RIGHT,373,43,47,5,5,100.0
RIGHT,374,56,67,12,10,83.33333333333334
RIGHT,382,5,11,7,7,100.0
LEFT,320,27,33,7,7,100.0
LEFT,321,49,72,24,24,100.0
LEFT,322,90,106,17,17,100.0
RIGHT,323,24,42,19,15,78.94736842105263
RIGHT,324,99,102,4,4,100.0
RIGHT,325,125,128,4,2,50.0
LEFT,365,28,34,7,7,100.0
RIGHT,366,23,29,7,7,100.0
LEFT,367,17,23,7,7,100.0
LEFT,368,33,38,6,6,100.0
RIGHT,369,32,35,4,4,100.0
LEFT,357,21,25,5,5,100.0
RIGHT,358,20,26,7,7,100.0
LEFT,333,30,36,7,7,100.0
LEFT,334,48,80,33,33,100.0
LEFT,335,81,92,12,11,91.66666666666666
LEFT,336,93,146,54,54,100.0
